Sno,MatchID,Team1,Team2,Winner,Year,Ground,Runs,Fours,Sixes,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR
0,750,West Indies,England,England,2019,Gros Islet,287,25,13,daynight,1,0,0,1,1,12400,125.3082353
1,751,West Indies,England,England,2019,Basseterre,223,23,6,daynight,1,0,1,0,0,8000,115.3088889
2,752,West Indies,England,England,2019,Basseterre,140,14,7,daynight,1,0,1,0,1,8000,109.9153333
3,772,England,Pakistan,England,2019,Cardiff,336,31,10,day,1,0,0,1,0,5500,124.6469231
4,992,New Zealand,England,England,2019,Christchurch,302,27,11,day,1,0,0,1,1,18000,146.2533333
5,998,New Zealand,England,New Zealand,2019,Wellington,323,19,21,day,1,0,0,1,1,33500,138.7875
6,1001,New Zealand,England,New Zealand,2019,Nelson,324,33,11,day,1,0,1,0,1,6000,145.1994118
7,1008,New Zealand,England,England,2019,Napier,387,29,24,night,1,0,1,0,0,10500,141.3675
8,1012,New Zealand,England,tied,2019,Auckland,282,14,27,day,1,0,0,1,1,41000,152.3853333
0,748,India,Australia,Australia,2019,Visakhapatnam,240,22,4,night,1,0,0,1,1,25000,123.9527778
1,749,India,Australia,Australia,2019,Bengaluru,370,27,22,night,1,0,0,1,1,40000,129.0390909
2,978,Australia,Sri Lanka,Australia,2019,Adelaide,318,33,11,day,1,0,0,1,1,50000,115.9666667
3,988,Australia,Sri Lanka,Australia,2019,Brisbane,226,24,2,night,1,0,0,1,0,37000,121.7271429
4,993,Australia,Sri Lanka,Australia,2019,Melbourne,267,13,10,night,1,0,1,0,0,90000,121.0761538
5,999,Australia,Pakistan,no result,2019,Sydney,145,12,6,day,1,0,1,0,0,44002,126.2111111
6,1002,Australia,Pakistan,Australia,2019,Canberra,295,32,4,night,1,0,0,1,0,12000,125.8815385
7,1009,Australia,Pakistan,Australia,2019,Perth,201,18,6,daynight,1,0,1,0,0,20000,112.5541667
0,732,South Africa,Pakistan,South Africa,2019,Cape Town,362,34,11,night,1,0,0,1,1,25000,127.0915789
1,734,South Africa,Pakistan,South Africa,2019,Johannesburg,351,35,13,day,1,0,0,1,1,28000,123.3471429
2,736,South Africa,Pakistan,Pakistan,2019,Centurion,293,27,11,night,1,0,1,0,0,20000,100.4281818
3,755,South Africa,Sri Lanka,tied,2019,Cape Town,258,20,8,night,1,0,1,0,0,25000,115.9594737
4,758,South Africa,Sri Lanka,South Africa,2019,Centurion,334,32,13,night,1,0,0,1,1,20000,122.37125
5,763,South Africa,Sri Lanka,South Africa,2019,Johannesburg,308,29,14,day,1,0,0,1,1,28000,115.856
6,888,India,South Africa,India,2019,Mohali,288,22,10,night,1,0,1,0,0,20000,137.2258333
7,893,India,South Africa,South Africa,2019,Bengaluru,253,22,10,night,1,0,1,0,1,40000,122.9392857
0,750,West Indies,England,England,2019,Gros Islet,287,25,13,daynight,1,0,0,1,1,12400,125.3082353
1,751,West Indies,England,England,2019,Basseterre,223,23,6,daynight,1,0,1,0,0,8000,115.3088889
2,752,West Indies,England,England,2019,Basseterre,140,14,7,daynight,1,0,1,0,1,8000,109.9153333
3,842,India,West Indies,India,2019,Lauderhill,180,10,9,day,0,1,1,0,0,20000,108.9247368
4,843,India,West Indies,India,2019,Lauderhill,248,19,10,day,0,1,1,0,1,20000,120.6253846
5,846,West Indies,India,India,2019,Providence,287,16,16,day,1,0,0,1,1,15000,116.3407692
6,1015,Afghanistan,West Indies,West Indies,2019,Lucknow,282,21,11,night,1,0,1,0,0,50000,117.9072222
7,1016,Afghanistan,West Indies,Afghanistan,2019,Lucknow,239,22,4,night,1,0,1,0,1,50000,118.0005263
8,1017,Afghanistan,West Indies,Afghanistan,2019,Lucknow,258,18,9,night,1,0,1,0,1,50000,112.2915789
9,1020,India,West Indies,India,2019,Hyderabad (Deccan),387,23,27,night,1,0,1,0,0,20000,131.7169231
10,1022,India,West Indies,West Indies,2019,Thiruvananthapuram,320,23,17,night,1,0,0,1,1,55000,135.5423077
11,1024,India,West Indies,India,2019,Mumbai,395,31,28,night,1,0,0,1,1,32000,123.8206667
0,718,New Zealand,Sri Lanka,New Zealand,2019,Auckland,295,18,17,night,1,0,0,1,1,41000,126.4395
1,735,New Zealand,India,New Zealand,2019,Wellington,345,25,21,night,1,0,0,1,1,33500,124.9015789
2,737,New Zealand,India,India,2019,Auckland,303,19,12,night,1,0,1,0,1,41000,141.8342857
3,738,New Zealand,India,New Zealand,2019,Hamilton,401,31,23,night,1,0,0,1,1,10000,134.9107143
4,878,Sri Lanka,New Zealand,New Zealand,2019,Pallekele,322,21,12,night,1,0,1,0,1,35000,132.68
5,879,Sri Lanka,New Zealand,New Zealand,2019,Pallekele,316,24,10,night,1,0,1,0,1,35000,129.5772222
6,880,Sri Lanka,New Zealand,Sri Lanka,2019,Pallekele,193,13,4,night,1,0,1,0,1,35000,115.9733333
7,992,New Zealand,England,England,2019,Christchurch,302,27,11,day,1,0,0,1,1,18000,146.2533333
8,998,New Zealand,England,New Zealand,2019,Wellington,323,19,21,day,1,0,0,1,1,33500,138.7875
9,1001,New Zealand,England,New Zealand,2019,Nelson,324,33,11,day,1,0,1,0,1,6000,145.1994118
10,1008,New Zealand,England,England,2019,Napier,387,29,24,night,1,0,1,0,0,10500,141.3675
11,1012,New Zealand,England,tied,2019,Auckland,282,14,27,day,1,0,0,1,1,41000,152.3853333
0,735,New Zealand,India,New Zealand,2019,Wellington,345,25,21,night,1,0,0,1,1,33500,124.9015789
1,737,New Zealand,India,India,2019,Auckland,303,19,12,night,1,0,1,0,1,41000,141.8342857
2,738,New Zealand,India,New Zealand,2019,Hamilton,401,31,23,night,1,0,0,1,1,10000,134.9107143
3,748,India,Australia,Australia,2019,Visakhapatnam,240,22,4,night,1,0,0,1,1,25000,123.9527778
4,749,India,Australia,Australia,2019,Bengaluru,370,27,22,night,1,0,0,1,1,40000,129.0390909
5,842,India,West Indies,India,2019,Lauderhill,180,10,9,day,0,1,1,0,0,20000,108.9247368
6,843,India,West Indies,India,2019,Lauderhill,248,19,10,day,0,1,1,0,1,20000,120.6253846
7,846,West Indies,India,India,2019,Providence,287,16,16,day,1,0,0,1,1,15000,116.3407692
8,888,India,South Africa,India,2019,Mohali,288,22,10,night,1,0,1,0,0,20000,137.2258333
9,893,India,South Africa,South Africa,2019,Bengaluru,253,22,10,night,1,0,1,0,1,40000,122.9392857
