,Team1,Team2,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR,CRating,Elevel
0,West Indies,England,daynight,1,0,0,1,1,12400,125.3082353,487,H
1,West Indies,England,daynight,1,0,1,0,0,8000,115.3088889,487,A
2,West Indies,England,daynight,1,0,1,0,1,8000,109.9153333,487,H
3,England,Pakistan,day,1,0,0,1,0,5500,124.6469231,547,L
4,New Zealand,England,day,1,0,0,1,1,18000,146.2533333,515,A
5,New Zealand,England,day,1,0,0,1,1,33500,138.7875,515,H
6,New Zealand,England,day,1,0,1,0,1,6000,145.1994118,515,H
7,New Zealand,England,night,1,0,1,0,0,10500,141.3675,515,H
8,New Zealand,England,day,1,0,0,1,1,41000,152.3853333,515,H
9,India,Australia,night,1,0,0,1,1,25000,123.9527778,521,L
10,India,Australia,night,1,0,0,1,1,40000,129.0390909,521,H
11,Australia,Sri Lanka,day,1,0,0,1,1,50000,115.9666667,488,H
12,Australia,Sri Lanka,night,1,0,0,1,0,37000,121.7271429,488,L
13,Australia,Sri Lanka,night,1,0,1,0,0,90000,121.0761538,488,L
14,Australia,Pakistan,day,1,0,1,0,0,44002,126.2111111,547,A
15,Australia,Pakistan,night,1,0,0,1,0,12000,125.8815385,547,L
16,Australia,Pakistan,daynight,1,0,1,0,0,20000,112.5541667,547,L
17,South Africa,Pakistan,night,1,0,0,1,1,25000,127.0915789,548,A
18,South Africa,Pakistan,day,1,0,0,1,1,28000,123.3471429,548,H
19,South Africa,Pakistan,night,1,0,1,0,0,20000,100.4281818,548,A
20,South Africa,Sri Lanka,night,1,0,1,0,0,25000,115.9594737,489,L
21,South Africa,Sri Lanka,night,1,0,0,1,1,20000,122.37125,489,H
22,South Africa,Sri Lanka,day,1,0,0,1,1,28000,115.856,489,H
23,India,South Africa,night,1,0,1,0,0,20000,137.2258333,522,L
24,India,South Africa,night,1,0,1,0,1,40000,122.9392857,522,A
28,India,West Indies,day,0,1,1,0,0,20000,108.9247368,486,L
29,India,West Indies,day,0,1,1,0,1,20000,120.6253846,486,L
30,West Indies,India,day,1,0,0,1,1,15000,116.3407692,486,A
31,Afghanistan,West Indies,night,1,0,1,0,0,50000,117.9072222,467,L
32,Afghanistan,West Indies,night,1,0,1,0,1,50000,118.0005263,467,L
33,Afghanistan,West Indies,night,1,0,1,0,1,50000,112.2915789,467,L
34,India,West Indies,night,1,0,1,0,0,20000,131.7169231,486,H
35,India,West Indies,night,1,0,0,1,1,55000,135.5423077,486,H
36,India,West Indies,night,1,0,0,1,1,32000,123.8206667,486,H
37,New Zealand,Sri Lanka,night,1,0,0,1,1,41000,126.4395,481,A
38,New Zealand,India,night,1,0,0,1,1,33500,124.9015789,514,H
39,New Zealand,India,night,1,0,1,0,1,41000,141.8342857,514,L
40,New Zealand,India,night,1,0,0,1,1,10000,134.9107143,514,H
41,Sri Lanka,New Zealand,night,1,0,1,0,1,35000,132.68,481,L
42,Sri Lanka,New Zealand,night,1,0,1,0,1,35000,129.5772222,481,L
43,Sri Lanka,New Zealand,night,1,0,1,0,1,35000,115.9733333,481,L
59,India,Bangladesh,night,1,0,0,1,1,20000,136.9792308,480,A
60,India,Bangladesh,night,1,0,1,0,0,28000,126.6358333,480,A
61,India,Bangladesh,night,1,0,0,1,1,45000,123.2411111,480,A
69,Pakistan,Sri Lanka,night,1,0,1,0,0,20000,107.6772222,513,L
70,Pakistan,Sri Lanka,night,1,0,0,1,0,20000,102.71,513,H
71,Pakistan,Sri Lanka,night,1,0,0,1,0,20000,118.528125,513,L
88,Australia,England,night,1,0,1,0,0,15000,141.6127778,241,A
89,Australia,England,night,1,0,1,0,0,90000,140.8669231,241,A
90,New Zealand,England,night,1,0,0,1,1,33500,132.6505556,231,H
91,New Zealand,England,night,1,0,1,0,0,10000,152.1286667,231,H
92,England,Australia,daynight,1,0,0,1,1,24803,124.2133333,241,H
93,England,India,daynight,1,0,0,1,1,19000,146.3428571,238,H
94,England,India,daynight,1,0,1,0,0,5500,149.9371429,238,L
95,England,India,day,1,0,0,1,1,7000,144.782,238,H
96,Sri Lanka,England,night,1,0,1,0,0,35000,124.5285714,200,H
97,Australia,New Zealand,night,0,0,1,0,0,44002,132.322,242,L
100,New Zealand,Australia,night,0,0,1,0,1,41000,138.34,242,H
101,New Zealand,Australia,night,0,0,1,0,1,41000,134.961875,242,L
103,Australia,Pakistan,day,1,0,1,0,0,10000,130.8857143,256,A
104,Australia,Pakistan,day,1,0,1,0,0,10000,122.045,256,A
105,Australia,Pakistan,day,1,0,1,0,1,10000,139.656875,256,H
106,Australia,Pakistan,night,0,0,1,0,0,20000,127.572381,256,L
107,Australia,Pakistan,night,0,0,0,1,0,25000,132.1844444,256,L
108,Australia,Pakistan,night,0,0,0,1,0,25000,124.4733333,256,L
109,Australia,South Africa,night,1,0,1,0,0,15500,131.43,240,A
110,Australia,India,daynight,1,0,0,1,1,37000,160.488,249,A
111,Australia,India,night,1,0,0,1,1,90000,130.9877778,249,A
112,Australia,India,night,1,0,1,0,1,44002,135.3178571,249,A
113,South Africa,India,day,1,0,1,0,0,28000,120.8211111,237,H
114,South Africa,India,night,1,0,1,0,0,20000,136.3366667,237,H
115,South Africa,India,night,1,0,1,0,0,25000,147.223125,237,L
116,Sri Lanka,South Africa,night,1,0,0,1,0,35000,95.9345,199,H
118,New Zealand,West Indies,night,1,0,0,1,1,20000,127.7916667,230,H
119,New Zealand,West Indies,night,1,0,1,0,1,20000,125.27,230,H
120,Pakistan,West Indies,day,1,0,0,1,1,20000,113.2055556,244,H
121,Pakistan,West Indies,day,1,0,1,0,1,20000,112.383125,244,H
122,Pakistan,West Indies,day,1,0,0,1,0,20000,116.2191667,244,H
123,West Indies,Bangladesh,night,1,0,1,0,0,8000,120.8425,189,H
124,Bangladesh,West Indies,night,0,1,0,1,1,20000,120.7355556,189,H
125,Bangladesh,West Indies,night,0,1,1,0,1,20000,122.3746667,189,A
126,India,West Indies,night,1,0,1,0,0,66000,126.2523529,237,L
127,India,West Indies,night,1,0,0,1,1,50000,122.8386667,237,A
128,India,West Indies,night,1,0,0,1,0,38000,137.9063636,237,H
129,Bangladesh,West Indies,day,1,0,1,0,1,13533,128.472,189,H
130,Bangladesh,West Indies,daynight,1,0,0,1,1,25000,126.1417647,189,H
131,Bangladesh,West Indies,daynight,1,0,1,0,0,25000,116.3754545,189,H
134,New Zealand,Pakistan,daynight,1,0,1,0,0,33500,123.268125,246,L
135,New Zealand,Pakistan,night,1,0,0,1,0,41000,126.3264706,246,H
136,New Zealand,Pakistan,night,1,0,0,1,0,20000,134.8475,246,A
142,New Zealand,Pakistan,night,0,0,0,1,0,20000,134.20125,246,L
143,New Zealand,Pakistan,night,0,0,1,0,1,25000,135.3986667,246,L
